Age, Deaths, Cases
Under 1 year,78,26344
0-17 years,314,46240
1-4 years,37,4756
5-14 years,108,7692
15-24 years,940,49638
18-29 years,2323,87529
25-34 years,4163,102500
30-39 years,6699,124824
35-44 years,10583,147472
40-49 years,17922,187040
45-54 years,29466,269088
50-64 years,92107,782263
55-64 years,73990,620406
65-74 years,130568,955272
75-84 years,161247,1152249
85 years and over,175479,1396604
